Firm_ID,Year,NIC,GVA
AGARIND.NS,2026,24,1348614000.0
AGARIND.NS,2025,24,2126902000.0
AGARIND.NS,2024,24,1779419000.0
AGARIND.NS,2023,24,1440295000.0
AGARWALEYE.NS,2026,21,6153400000.0
AGARWALEYE.NS,2025,21,4993800000.0
AGARWALEYE.NS,2024,21,4065600000.0
AGARWALEYE.NS,2023,21,2838600000.0
AFSL.NS,2026,64,1638831000.0
AFSL.NS,2025,64,1919226000.0
AFSL.NS,2024,64,1378030000.0
AFSL.NS,2023,64,794757000.0
AGI.NS,2026,29,6847800000.0
AGI.NS,2025,29,6886700000.0
AGI.NS,2024,29,5882718000.0
AGI.NS,2023,29,4879026000.0
AGRITECH.NS,2024,10,97571000.0
AGSTRA.NS,2024,62,2142130000.0
AGSTRA.NS,2023,62,4200960000.0
AGSTRA.NS,2022,62,4240410000.0
AGIIL.NS,2026,68,1326949000.0
AGIIL.NS,2025,68,1051103000.0
AGIIL.NS,2024,68,845992000.0
AGIIL.NS,2023,68,641828000.0
AGROPHOS.NS,2026,24,165745000.0
AGROPHOS.NS,2025,24,146588000.0
AGROPHOS.NS,2023,24,103543000.0
AHLADA.NS,2025,42,208834000.0
AHLADA.NS,2024,42,364266000.0
AHLADA.NS,2023,42,251144000.0
AHLADA.NS,2022,42,264783000.0
AHCL.NS,2026,21,477720000.0
AHCL.NS,2025,21,323773000.0
AHCL.NS,2024,21,157152000.0
AHCL.NS,2023,21,126485000.0
AIIL.NS,2026,64,21021000000.0
AIIL.NS,2025,64,40427700000.0
AIIL.NS,2024,64,42982600000.0
AIIL.NS,2023,64,46415600000.0
AHLWEST.NS,2026,29,1808201000.0
AHLWEST.NS,2025,29,1534896000.0
AHLWEST.NS,2024,29,1280084000.0
AHLWEST.NS,2023,29,1493448000.0
AIAENG.NS,2026,42,17409760000.0
AIAENG.NS,2025,42,14925954000.0
AIAENG.NS,2024,42,16166694000.0
AIAENG.NS,2023,42,14751802000.0
AHLEAST.NS,2025,29,707622000.0
AHLEAST.NS,2024,29,616211000.0
AHLEAST.NS,2023,29,327106000.0
AHLEAST.NS,2022,29,138734000.0
AHLUCONT.NS,2026,42,5075681000.0
AHLUCONT.NS,2025,42,3977442000.0
AHLUCONT.NS,2024,42,5871548000.0
AHLUCONT.NS,2023,42,3211054000.0
AIROLAM.NS,2025,29,147119000.0
AIROLAM.NS,2024,29,200092000.0
AIROLAM.NS,2023,29,166538000.0
AIROLAM.NS,2022,29,144583036.0
AJMERA.NS,2026,68,3063300000.0
AJMERA.NS,2025,68,2458000000.0
AJMERA.NS,2024,68,2090474000.0
AJMERA.NS,2023,68,1339605000.0
AJAXENGG.NS,2026,42,3118780000.0
AJAXENGG.NS,2025,42,3181350000.0
AJAXENGG.NS,2024,42,3142170000.0
AJAXENGG.NS,2023,42,1921820000.0
AIRAN.NS,2026,62,214875000.0
AIRAN.NS,2025,62,292284000.0
AIRAN.NS,2024,62,226361000.0
AIRAN.NS,2023,62,195762000.0
AJANTPHARM.NS,2026,21,15669000000.0
AJANTPHARM.NS,2025,21,13540000000.0
AJANTPHARM.NS,2024,21,12565400000.0
AJANTPHARM.NS,2023,21,8818900000.0
AKASH.NS,2026,42,74984000.0
AKASH.NS,2025,42,69114000.0
AKASH.NS,2024,42,51842000.0
AKASH.NS,2023,42,67814000.0
AJOONI.NS,2025,10,57217000.0
AJOONI.NS,2024,10,44190000.0
AJOONI.NS,2023,10,30503000.0
AJOONI.NS,2022,10,29700000.0
AKG.NS,2026,42,13417000.0
AKG.NS,2025,42,22495000.0
AKG.NS,2024,42,34083000.0
AKG.NS,2023,42,42121000.0
AKSHARCHEM.NS,2026,24,189012000.0
AKSHARCHEM.NS,2025,24,250888000.0
AKSHARCHEM.NS,2024,24,15087000.0
AKSHARCHEM.NS,2023,24,150713000.0
AKSHAR.NS,2024,29,106601000.0
AKSHAR.NS,2023,29,17441000.0
AKI.NS,2026,29,68498000.0
AKI.NS,2025,29,63690000.0
AKI.NS,2024,29,53875000.0
AKI.NS,2023,29,50569000.0
AEROFLEX.NS,2026,42,1010977000.0
AEROFLEX.NS,2025,42,815796000.0
AEROFLEX.NS,2024,42,654961000.0
AEROFLEX.NS,2023,42,494385000.0
AKSHOPTFBR.NS,2026,62,68745000.0
AKSHOPTFBR.NS,2023,62,350049000.0
ALGOQUANT.NS,2026,64,528021000.0
ALGOQUANT.NS,2025,64,482812000.0
ALGOQUANT.NS,2024,64,358752000.0
ALANKIT.NS,2026,62,391421000.0
ALANKIT.NS,2025,62,451599000.0
ALANKIT.NS,2024,62,357564000.0
ALBERTDAVD.NS,2026,21,129199000.0
ALBERTDAVD.NS,2025,21,326070000.0
ALBERTDAVD.NS,2024,21,1043177000.0
ALBERTDAVD.NS,2023,21,596238000.0
AKUMS.NS,2026,21,6307250000.0
AKUMS.NS,2025,21,5332990000.0
AKUMS.NS,2024,21,1306130000.0
AKUMS.NS,2023,21,3090790000.0
ALEMBICLTD.NS,2026,68,1634300000.0
ALEMBICLTD.NS,2025,68,1686000000.0
ALEMBICLTD.NS,2024,68,1116340000.0
ALEMBICLTD.NS,2023,68,939864000.0
ALICON.NS,2026,42,1957243000.0
ALICON.NS,2025,42,1978989000.0
ALICON.NS,2024,42,1970231000.0
ALICON.NS,2023,42,1558344000.0
ALKALI.NS,2026,24,83371000.0
ALKALI.NS,2024,24,86342000.0
ALKALI.NS,2023,24,106442000.0
ALIVUS.NS,2026,21,8320380000.0
ALIVUS.NS,2025,21,7171540000.0
ALIVUS.NS,2024,21,6862880000.0
ALIVUS.NS,2023,21,6712500000.0
ALKYLAMINE.NS,2026,24,3158262000.0
ALKYLAMINE.NS,2025,24,3204494000.0
ALKYLAMINE.NS,2024,24,2651826000.0
ALKYLAMINE.NS,2023,24,3564620000.0
