Company name,Symbol,Sector
Lanka Ceramic,CSE: CERA.N0000,Consumer Durables
Lanka Credit & Business Finance,CSE: LCBF.N0000,Finance
Lanka IOC,CSE: LIOC.N0000,Distribution Services
Lanka Milk Foods (CWE),CSE: LMF.N0000,Consumer Non-Durables
Lanka Realty Investments,CSE: ASCO.N0000,Non-Energy Minerals
Lanka Tiles,CSE: TILE.N0000,Producer Manufacturing
Lanka Ventures,CSE: LVEN.N0000,Miscellaneous
Lanka Walltiles,CSE: LWL.N0000,Producer Manufacturing
Lankem Ceylon,CSE: LCEY.N0000,Process Industries
Lankem Developments,CSE: LDEV.N0000,Consumer Non-Durables
LAUGFS Gas,CSE: LGL.N0000,Distribution Services
LAUGFS Power,CSE: LPL.N0000,Utilities
Laxapana Batteries,CSE: LITE.N0000,Producer Manufacturing
Lee Hedges,CSE: SHAW.N0000,Finance
Lion Brewery Ceylon,CSE: LION.N0000,Consumer Non-Durables
LOLC Finance,CSE: LOFC.N0000,Finance
LOLC General Insurance,CSE: LGIL.N0000,Finance
LOLC Holdings,CSE: LOLC.N0000,Finance
Lotus Hydro Power,CSE: HPFL.N0000,Utilities
Luminex,CSE: LUMX.N0000,Industrial Services
LVL Energy Fund,CSE: LVEF.N0000,Finance
Madulsima Plantations,CSE: MADU.N0000,Process Industries
Maharaja Foods,CSE: MFPE.N0000,Process Industries
Mahaweli Coconut Plantations,CSE: MCPL.N0000,Process Industries
Mahaweli Reach Hotels,CSE: MRH.N0000,Consumer Services
Malwatte Valley Plantations,CSE: MAL.N0000,Process Industries
Marawila Resorts,CSE: MARA.N0000,Consumer Services
Maskeliya Plantations,CSE: MASK.N0000,Process Industries
Melstacorp,CSE: MELS.N0000,Consumer Non-Durables
Mercantile Investments and Finance,CSE: MERC.N0000,Finance
Mercantile Shipping Company,CSE: MSL.N0000,Transportation
Merchant Bank of Sri Lanka & Finance,CSE: MBSL.N0000,Finance
Millennium Housing Developers,CSE: MHDL.N0000,Consumer Durables
Muller & Phipps (Ceylon),CSE: MULL.N0000,Health Technology
Multi Finance,CSE: MFL.N0000,Finance
Myland Development,CSE: MDL.N0000,Finance
Namunukula Plantations,CSE: NAMU.N0000,Process Industries
Nation Lanka Finance,CSE: CSF.N0000,Finance
National Development Bank,CSE: NDB.N0000,Finance
Nations Trust Bank,CSE: NTB.N0000,Finance
Nawaloka Hospitals,CSE: NHL.N0000,Health Services
Odel,CSE: ODEL.N0000,Retail Trade
Office Equipment,CSE: OFEQ.N0000,Distribution Services
On'ally Holdings,CSE: ONAL.N0000,Finance
Orient Finance,CSE: BFN.N0000,Finance
Overseas Realty (Ceylon),CSE: OSEA.N0000,Finance
Palm Garden Hotels,CSE: PALM.N0000,Consumer Services
Pan Asia Banking Corporation,CSE: PABC.N0000,Finance
Panasian Power,CSE: PAP.N0000,Utilities
Paragon Ceylon,CSE: PARA.N0000,Producer Manufacturing
Pegasus Hotels of Ceylon,CSE: PEG.N0000,Consumer Services
People's Insurance,CSE: PINS.N0000,Finance
People's Leasing & Finance,CSE: PLC.N0000,Finance
PGP Glass Ceylon,CSE: GLAS.N0000,Process Industries
PMF Finance,CSE: PMB.N0000,Finance
Prime Lands Residencies,CSE: PLR.N0000,Finance
Printcare,CSE: CARE.N0000,Commercial Services
R I L Property,CSE: RIL.N0000,Finance
Radiant Gems International,CSE: RGEM.N0000,Consumer Durables
Raigam Wayamba Salterns,CSE: RWSL.N0000,Consumer Non-Durables
Ramboda Falls,CSE: RFL.N0000,Consumer Services
Regnis (Lanka),CSE: REG.N0000,Consumer Durables
Renuka Agri Foods,CSE: RAL.N0000,Consumer Non-Durables
Renuka City Hotels,CSE: RENU.N0000,Consumer Services
Renuka Foods,CSE: COCO.N0000,Producer Manufacturing
Renuka Holdings,CSE: RHL.N0000,Miscellaneous
Renuka Hotels,CSE: RCH.N0000,Consumer Services
Resus Energy,CSE: HPWR.N0000,Utilities
Richard Pieris and Company,CSE: RICH.N0000,Producer Manufacturing
Richard Pieris Exports,CSE: REXP.N0000,Producer Manufacturing
Royal Ceramics Lanka,CSE: RCL.N0000,Producer Manufacturing
Royal Palms Beach Hotels,CSE: RPBH.N0000,Consumer Services
Sampath Bank,CSE: SAMP.N0000,Finance
Samson International,CSE: SIL.N0000,Process Industries
Sanasa Development Bank,CSE: SDB.N0000,Finance
Sarvodaya Development Finance,CSE: SDF.N0000,Finance
Sathosa Motors,CSE: SMOT.N0000,Distribution Services
Senkadagala Finance,CSE: SFCL.N0000,Finance
Serendib Engineering Group,CSE: IDL.N0000,Industrial Services
Serendib Hotels,CSE: SHOT.N0000,Consumer Services
Serendib Land,CSE: SLND.N0000,Finance
Seylan Bank,CSE: SEYB.N0000,Finance
Seylan Developments,CSE: CSD.N0000,Finance
Shaw Wallace Investments,CSE: KZOO.N0000,Finance
Sierra Cables,CSE: SIRA.N0000,Electronic Technology
Sigiriya Village Hotels,CSE: SIGV.N0000,Consumer Services
Singer (Sri Lanka),CSE: SINS.N0000,Retail Trade
Singer Finance (Lanka),CSE: SFIN.N0000,Finance
Singer Industries (Ceylon),CSE: SINI.N0000,Consumer Durables
